price,os,new,model_cpu,core,frequency_ghz,socket,ram_gb,ram_type,ram_ghz,model_gpu,vram_gb,storage_gb,mother_board,power_supply,estimation,link
76990,,yes,Intel Core i5-12600KF,,,,16 ГБ,,,GIGABYTE GeForce RTX 5060 WINDFORCE MAX OC 8GB,,,GIGABYTE H610M K DDR4,,,https://www.avito.ru/yaroslavl/nastolnye_kompyutery/igrovoy_i5_12600kf_rtx_5060_16_gb_ssd_7926773520?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
8000,,no,Intel Core i3-7100U,,,,16 ГБ,,,,,,Intel SE7320SP2,,,https://www.avito.ru/saratov/nastolnye_kompyutery/hp_7826465277?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
91800,,yes,AMD Ryzen 7 5700X,,,,32 ГБ,,,Palit GeForce RTX 5070 Infinity 3,,,,,,https://www.avito.ru/moskva/nastolnye_kompyutery/igrovoy_pk_rtx_5070_12_gb_ryzen_7_5700x_7756019845?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
19000,,no,Intel Core i5-3470,,,,16 ГБ,,,Palit GeForce GTX 1060 Dual Fan 3GB,,,ASUS B75M-PLUS,,,https://www.avito.ru/pskov/nastolnye_kompyutery/idealnyy_igrovoy_pk_gtx_1060_3g_i5-3470_16gb_1_7822148585?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
2000,,no,Intel Core 2 Quad Q9450,,,,4 ГБ,,,NVIDIA GeForce 9800 GX2,,,ASUS A55M-A/USB3,,,https://www.avito.ru/podolsk/nastolnye_kompyutery/ofisnyy_pk_7904691382?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
600,,no,Intel Core 2 Duo E6600,,,,6 ГБ,,,AMD VTX3D AMD Radeon R7 250 1GB,,,ASRock 4Core1600-DVI,,,https://www.avito.ru/astrahan/nastolnye_kompyutery/kompyuter_7473248233?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
75000,,no,Intel Core i5-12400F,,,,32 ГБ,,,XFX Speedster QICK319 RX 6700 XT ULTRA 12GB,,,Huananzhi B760M-D4,,,https://www.avito.ru/ivanovo/nastolnye_kompyutery/igrovoy_pk_v_sbore_7825186945?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
6000,,no,,,,,,,,,,,,,,https://www.avito.ru/sankt-peterburg/nastolnye_kompyutery/apple_mac_mini_2012_7903524752?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
11999,,no,Intel Core i7-5930K,,,,6 ГБ,,,ASUS Dual GeForce GTX 1050 V2 2GB,,,GIGABYTE 8S651MP-RZ,,,https://www.avito.ru/volginskiy/nastolnye_kompyutery/igrovoy_kompyuter_7913242102?slocation=621540&context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
1100,,no,Intel Core i5-2300,,,,4 ГБ,,,,,,Acer H61H2-AM v1.1,,,https://www.avito.ru/irkutsk/nastolnye_kompyutery/acer_veriton_2610_7882481646?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFMXl4VlY5Nm1XOWRyNjdZIjt9jNaUAT8AAAA
